Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,5,10/08,Home,LAC,L,22 to 27,1,0,1,11,11.0,11,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,6,10/15,Away,DEN,W,23 to 10,1,0,1,6,6.0,6,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,7,10/22,Home,SEA,L,7 to 24,1,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,9,11/05,Home,LA,L,17 to 51,1,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,10,11/12,Away,SF,L,21 to 31,1,1,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,11,11/19,Home,KC,W,12 to 9,1,0,1,6,6.0,6,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,12,11/23,Away,WAS,L,10 to 20,1,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,13,12/03,Away,OAK,L,17 to 24,1,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,14,12/10,Home,DAL,L,10 to 30,1,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,15,12/17,Home,PHI,L,29 to 34,1,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,16,12/24,Away,ARI,L,0 to 23,1,0,4,31,7.8,11,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,17,12/31,Home,WAS,W,18 to 10,1,0,0,0,--,--,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Preseason,1,08/12,Home,MIA,L,10 to 27,1,0,1,7,7.0,7,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Preseason,2,08/20,Away,BUF,L,0 to 21,1,0,1,8,8.0,8,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Preseason,3,08/27,Away,NYJ,W,21 to 20,1,0,1,14,14.0,14,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Preseason,4,09/01,Home,NE,W,17 to 9,1,0,0,0,--,--,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,1,09/11,Away,DAL,W,20 to 19,0,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,2,09/18,Home,NO,W,16 to 13,1,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2016,Regular Season,3,09/25,Home,WAS,L,27 to 29,0,0,--,--,--,--,--,--,--,--,--,--,--,--
