Player Id,Name,Current Status,Years Played
marvinbracy/2559454,"Bracy, Marvin",Other,
jamesbradberry/2555175,"Bradberry, James",Active,
benbraden/2559062,"Braden, Ben",Active,
sambradford/497095,"Bradford, Sam",Active,
nigelbradham/2532800,"Bradham, Nigel",Active,
bambradley/2558917,"Bradley, Bam",Active,
hunterbradley/2561156,"Bradley, Hunter",Active,
tombrady/2504211,"Brady, Tom",Active,
marcelisbranch/2559107,"Branch, Marcelis",Active,
andrebranch/2532801,"Branch, Andre",Active,
calebbrantley/2558007,"Brantley, Caleb",Active,
cameronbrate/2550656,"Brate, Cameron",Active,
benbraunecker/2556478,"Braunecker, Ben",Active,
danielbraverman/2556144,"Braverman, Daniel",Active,
quanbray/2553467,"Bray, Quan",Active,
tylerbray/2540173,"Bray, Tyler",Active,
drewbrees/2504775,"Brees, Drew",Active,
mattbreida/2558918,"Breida, Matt",Active,
jakebrendel/2556479,"Brendel, Jake",Active,
k.j.brent/2556383,"Brent, K.J.",Active,
aaronbrewer/2535529,"Brewer, Aaron",Active,
kentrellbrice/2556480,"Brice, Kentrell",Active,
teddybridgewater/2543465,"Bridgewater, Teddy",Active,
beaubrinkley/2535701,"Brinkley, Beau",Active,
jacobybrissett/2555261,"Brissett, Jacoby",Active,
justinbritt/2550135,"Britt, Justin",Active,
kennybritt/71217,"Britt, Kenny",Active,
tramainebrock/2507917,"Brock, Tramaine",Active,
michaelbrockers/2533050,"Brockers, Michael",Active,
jaybromley/2543860,"Bromley, Jay",Active,
brandonbrooks/2534434,"Brooks, Brandon",Active,
terrencebrooks/2543712,"Brooks, Terrence",Active,
kentrellbrothers/2555168,"Brothers, Kentrell",Active,
algernonbrown/2559146,"Brown, Algernon",Active,
andrewbrown/2560979,"Brown, Andrew",Active,
anthonybrown/2555531,"Brown, Anthony",Active,
antoniobrown/2508061,"Brown, Antonio",Active,
asantaybrown/2561512,"Brown, Asantay",Active,
blairbrown/2558241,"Brown, Blair",Active,
brianbrown/2559148,"Brown, Brian",Active,
coreybrown/2550546,"Brown, Corey",Injured reserve,
danielbrown/2553900,"Brown, Daniel",Active,
donatellobrown/2558919,"Brown, Donatello",Active,
duanebrown/808,"Brown, Duane",Active,
evanbrown/2561506,"Brown, Evan",Active,
fadolbrown/2558920,"Brown, Fadol",Active,
fredbrown/2559396,"Brown, Fred",Active,
jamonbrown/2552340,"Brown, Jamon",Active,
jaronbrown/2541966,"Brown, Jaron",Active,
jatavisbrown/2556148,"Brown, Jatavis",Active,
jayonbrown/2558005,"Brown, Jayon",Active,
johnbrown/2543847,"Brown, John",Active,
jonbrown/2556725,"Brown, Jon",Active,
mackbrown/2553867,"Brown, Mack",Active,
malcolmbrown/2552382,"Brown, Malcolm",Active,
malcombrown/2552483,"Brown, Malcom",Active,
marlonbrown/2540005,"Brown, Marlon",Active,
prestonbrown/2543814,"Brown, Preston",Active,
noahbrown/2558091,"Brown, Noah",Active,
orlandobrown/2560981,"Brown, Orlando",Active,
pharaohbrown/2559018,"Brown, Pharaoh",Active,
richiebrown/2558921,"Brown, Richie",Active,
tonybrown/2560982,"Brown, Tony",Active,
trentbrown/2552350,"Brown, Trent",Active,
billybrown/2559147,"Brown, Billy",Active,
zachbrown/2532804,"Brown, Zach",Active,
danielbrunskill/2559108,"Brunskill, Daniel",Active,
tavenbryan/2560983,"Bryan, Taven",Active,
brandonbryant/2561645,"Bryant, Brandon",Active,
martavisbryant/2543572,"Bryant, Martavis",Active,
omariusbryant/2558922,"Bryant, Omarius",Active,
mattbryant/2504797,"Bryant, Matt",Active,
deonebucannon/2543769,"Bucannon, Deone",Active,
deforestbuckner/2555275,"Buckner, DeForest",Active,
bryanbulaga/496988,"Bulaga, Bryan",Active,
jonathanbullard/2555335,"Bullard, Jonathan",Active,
randybullock/2533444,"Bullock, Randy",Active,
rileybullough/2558923,"Bullough, Riley",Active,
malcolmbunche/2553697,"Bunche, Malcolm",Active,
marquisbundy/2557431,"Bundy, Marquis",Active,
aaronburbridge/2555362,"Burbridge, Aaron",Active,
vontazeburfict/2533058,"Burfict, Vontaze",Active,
jamesburgess/2556489,"Burgess, James",Active,
rexburkhead/2539265,"Burkhead, Rex",Active,
orenburks/2560984,"Burks, Oren",Active,
deontayburnett/2560985,"Burnett, Deontay",Active,
morganburnett/496727,"Burnett, Morgan",Active,
artieburns/2555344,"Burns, Artie",Active,
justonburris/2555313,"Burris, Juston",Active,
deanteburton/2559109,"Burton, Deante",Active,
treyburton/2550284,"Burton, Trey",Active,
michaelburton/2552636,"Burton, Michael",Active,
tyreekburwell/2553869,"Burwell, Tyreek",Active,
deonbush/2555155,"Bush, Deon",Active,
rafaelbush/2507817,"Bush, Rafael",Active,
jermonbushrod/2507203,"Bushrod, Jermon",Active,
harrisonbutker/2558245,"Butker, Harrison",Active,
adambutler/2558924,"Butler, Adam",Active,
bricebutler/2541388,"Butler, Brice",Active,
jamesbutler/2561678,"Butler, James",Active,
malcolmbutler/2550613,"Butler, Malcolm",Active,
paulbutler/2561483,"Butler, Paul",Active,
vernonbutler/2555243,"Butler, Vernon",Active,
jakebutt/2557859,"Butt, Jake",Active,
kevinbyard/2555158,"Byard, Kevin",Active,
joshbynes/2530491,"Bynes, Josh",Active,
damierebyrd/2553499,"Byrd, Damiere",Active,
dontezbyrd/2561188,"Byrd, Dontez",Active,
emanuelbyrd/2559100,"Byrd, Emanuel",Active,
jasoncabinda/2560986,"Cabinda, Jason",Active,
travariscadet/2535890,"Cadet, Travaris",Active,
deoncain/2560987,"Cain, Deon",Injured reserve,
devoncajuste/2556490,"Cajuste, Devon",Active,
treycaldwell/2556372,"Caldwell, Trey",Active,
kendallcalhoun/2561575,"Calhoun, Kendall",Active,
shiliquecalhoun/2555294,"Calhoun, Shilique",Active,
tavezecalhoun/2556491,"Calhoun, Taveze",Active,
austincalitro/2558925,"Calitro, Austin",Active,
brycecallahan/2553500,"Callahan, Bryce",Active,
joecallahan/2556492,"Callahan, Joe",Active,
antoniocallaway/2560988,"Callaway, Antonio",Active,
nickcallender/2561477,"Callender, Nick",Active,
johnathancalvin/2558926,"Calvin, Johnathan",Injured reserve,
michaelcampanaro/2550163,"Campanaro, Michael",Active,
calaiscampbell/744,"Campbell, Calais",Active,
chriscampbell/2560989,"Campbell, Chris",Active,
de'vondrecampbell/2555255,"Campbell, De'Vondre",Active,
elijahcampbell/2561455,"Campbell, Elijah",Active,
ibraheimcampbell/2552605,"Campbell, Ibraheim",Active,
jakecampos/2561305,"Campos, Jake",Active,
kameroncanaday/2556421,"Canaday, Kameron",Active,
brycecanady/2561690,"Canady, Bryce",Active,
mauricecanady/2555178,"Canady, Maurice",Active,
a.j.cann/2552330,"Cann, A.J.",Active,
kdcannon/2558927,"Cannon, KD",Active,
marcuscannon/2495131,"Cannon, Marcus",Active,
trentoncannon/2561137,"Cannon, Trenton",Active,
dylancantrell/2560990,"Cantrell, Dylan",Active,
capcapi/2553870,"Capi, Cap",Active,
alexcappa/2560991,"Cappa, Alex",Active,
joecardona/2552701,"Cardona, Joe",Active,
tannercarew/2560992,"Carew, Tanner",Active,
doncarey/2507793,"Carey, Don",Active,
danielcarlson/2560993,"Carlson, Daniel",Active,
jamescarpenter/2495134,"Carpenter, James",Active,
austincarr/2558928,"Carr, Austin",Active,
brandoncarr/4365,"Carr, Brandon",Active,
derekcarr/2543499,"Carr, Derek",Active,
tankcarradine/2539224,"Carradine, Tank",Active,
joshcarraway/2557883,"Carraway, Josh",Active,
t.j.carrie/2550164,"Carrie, T.J.",Active,
derekcarrier/2534241,"Carrier, Derek",Active,
darrencarrington/2561014,"Carrington, Darren",Active,
leontecarroo/2555215,"Carroo, Leonte",Active,
chriscarson/2558865,"Carson, Chris",Active,
tracarson/2556493,"Carson, Tra",Active,
alexcarter/2552587,"Carter, Alex",Active,
cethancarter/2558929,"Carter, Cethan",Active,
corycarter/2558297,"Carter, Cory",Other,
deandrecarter/2553502,"Carter, DeAndre",Active,
jamalcarter/2559321,"Carter, Jamal",Injured reserve,
jarellcarter/2559439,"Carter, Jarell",Other,
jermainecarter/2561093,"Carter, Jermaine",Active,
kylecarter/2556494,"Carter, Kyle",Active,
lorenzocarter/2561015,"Carter, Lorenzo",Active,
martezcarter/2561306,"Carter, Martez",Injured reserve,
ryancarter/2561307,"Carter, Ryan",Active,
jurrellcasey/2495476,"Casey, Jurrell",Active,
jeremycash/2556846,"Cash, Jeremy",Injured reserve,
mattcassel/2506562,"Cassel, Matt",Active,
anthonycastonzo/2495137,"Castonzo, Anthony",Active,
tylercatalina/2558871,"Catalina, Tyler",Active,
chandlercatanzaro/2550325,"Catanzaro, Chandler",Active,
garrettcelek/2534820,"Celek, Garrett",Active,
jonathancelestin/2561679,"Celestin, Jonathan",Active,
andrechachere/2561016,"Chachere, Andre",Active,
kamchancellor/494257,"Chancellor, Kam",Physically unable to perform,
seanchandler/2561017,"Chandler, Sean",Active,
markchapman/2561656,"Chapman, Mark",Active,
d.j.chark/2561018,"Chark, D.J.",Active,
orsoncharles/2533047,"Charles, Orson",Active,
stefancharles/2541925,"Charles, Stefan",Active,
tacocharlton/2557882,"Charlton, Taco",Active,
tyrellchavis/2561508,"Chavis, Tyrell",Active,
josephcheek/2556733,"Cheek, Joseph",Active,
mackendycheridor/2561444,"Cheridor, Mackendy",Active,
jehuchesson/2557866,"Chesson, Jehu",Active,
anthonychickillo/2552266,"Chickillo, Anthony",Active,
geronchristian/2561019,"Christian, Geron",Active,
marquichristian/2556277,"Christian, Marqui",Active,
bradleychubb/2561020,"Chubb, Bradley",Active,
brandonchubb/2556500,"Chubb, Brandon",Active,
nickchubb/2561021,"Chubb, Nick",Active,
patrickchung/71251,"Chung, Patrick",Active,
jordanchunn/2561308,"Chunn, Jordan",Active,
barrychurch/494259,"Church, Barry",Active,
jackcichy/2561022,"Cichy, Jack",Active,
morrisclaiborne/2533059,"Claiborne, Morris",Active,
willclapp/2561023,"Clapp, Will",Active,
chuckclark/2558248,"Clark, Chuck",Active,
frankclark/2552629,"Clark, Frank",Active,
jeremyclark/2558249,"Clark, Jeremy",Active,
kennyclark/2555282,"Clark, Kenny",Active,
le'ravenclark/2555202,"Clark, Le'Raven",Active,
willclarke/2543881,"Clarke, Will",Active,
blaineclausell/2553753,"Clausell, Blaine",Active,
charlesclay/2495139,"Clay, Charles",Active,
b.j.clay/2561309,"Clay, B.J.",Active,
kaelinclay/2552651,"Clay, Kaelin",Active,
adrianclayborn/2495140,"Clayborn, Adrian",Active,
coreyclement/2559150,"Clement, Corey",Active,
chunkyclements/2557907,"Clements, Chunky",Active,
t.j.clemmings/2552365,"Clemmings, T.J.",Active,
reshardcliett/2553449,"Cliett, Reshard",Active,
hahaclinton-dix/2543470,"Clinton-Dix, Ha Ha",Active,
jadeveonclowney/2543456,"Clowney, Jadeveon",Active,
sammiecoates/2552470,"Coates, Sammie",Active,
randallcobb/2495448,"Cobb, Randall",Active,
simmiecobbs/2561024,"Cobbs, Simmie",Active,
rosscockrell/2543799,"Cockrell, Ross",Injured reserve,
tarikcohen/2558250,"Cohen, Tarik",Active,
adriancolbert/2558857,"Colbert, Adrian",Active,
dylancole/2559152,"Cole, Dylan",Active,
keelancole/2559153,"Cole, Keelan",Active,
masoncole/2561025,"Cole, Mason",Active,
amaricoleman/2561189,"Coleman, Amari",Active,
brandoncoleman/2550328,"Coleman, Brandon",Other,
coreycoleman/2555333,"Coleman, Corey",Active,
derrickcoleman/2534871,"Coleman, Derrick",Active,
justincoleman/2553637,"Coleman, Justin",Active,
kurtcoleman/494261,"Coleman, Kurt",Active,
kylecoleman/2557132,"Coleman, Kyle",Active,
lavoncoleman/2561026,"Coleman, Lavon",Active,
shoncoleman/2555337,"Coleman, Shon",Active,
tevincoleman/2552453,"Coleman, Tevin",Active,
xaviercoleman/2558931,"Coleman, Xavier",Active,
stacycoley/2557896,"Coley, Stacy",Active,
trevoncoley/2556504,"Coley, Trevon",Active,
alexcollins/2555430,"Collins, Alex",Active,
aviantecollins/2558932,"Collins, Aviante",Active,
caysoncollins/2561522,"Collins, Cayson",Active,
jamiecollins/2539311,"Collins, Jamie",Active,
la'elcollins/2553505,"Collins, La'el",Active,
landoncollins/2552454,"Collins, Landon",Active,
maliekcollins/2555400,"Collins, Maliek",Active,
parkercollins/2559154,"Collins, Parker",Injured reserve,
brittoncolquitt/71259,"Colquitt, Britton",Active,
dustincolquitt/2506438,"Colquitt, Dustin",Active,
aaroncolvin/2543501,"Colvin, Aaron",Active,
tomcompton/2532816,"Compton, Tom",Active,
willcompton/2540013,"Compton, Will",Active,
jackconklin/2555279,"Conklin, Jack",Active,
tylerconklin/2561027,"Conklin, Tyler",Active,
chrisconley/2552652,"Conley, Chris",Active,
gareonconley/2558062,"Conley, Gareon",Active,
jamesconner/2557978,"Conner, James",Active,
chrisconte/2495272,"Conte, Chris",Active,
connorcook/2555332,"Cook, Connor",Active,
dalvincook/2557991,"Cook, Dalvin",Active,
jaredcook/71265,"Cook, Jared",Active,
timcook/2559156,"Cook, Tim",Active,
logancooke/2561161,"Cooke, Logan",Active,
brandincooks/2543498,"Cooks, Brandin",Active,
amaricooper/2552487,"Cooper, Amari",Active,
chriscooper/2561429,"Cooper, Chris",Active,
ethancooper/2558884,"Cooper, Ethan",Active,
jonathancooper/2539272,"Cooper, Jonathan",Active,
marcuscooper/2541202,"Cooper, Marcus",Active,
pharohcooper/2555419,"Cooper, Pharoh",Active,
secdrickcooper/2560081,"Cooper, Secdrick",Active,
xaviercooper/2552611,"Cooper, Xavier",Active,
brandoncopeland/2541695,"Copeland, Brandon",Active,
austincorbett/2561028,"Corbett, Austin",Active,
codycore/2555331,"Core, Cody",Active,
kamaleicorrea/2555339,"Correa, Kamalei",Active,
curtiscothran/2561190,"Cothran, Curtis",Active,
