gameDate,Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
2014-12-07,jaceamaro/2543481,"Amaro, Jace",TE,2014,Regular Season,14,12/07,Away,MIN,L,24 to 30,0,0,,,,,,,,,,,,
2014-12-14,jaceamaro/2543481,"Amaro, Jace",TE,2014,Regular Season,15,12/14,Away,TEN,W,16 to 11,1,0,1.0,20.0,20.0,20.0,0.0,,,,,,,
2014-12-21,jaceamaro/2543481,"Amaro, Jace",TE,2014,Regular Season,16,12/21,Home,NE,L,16 to 17,1,0,0.0,0.0,,,0.0,,,,,,,
2014-12-28,jaceamaro/2543481,"Amaro, Jace",TE,2014,Regular Season,17,12/28,Away,MIA,W,37 to 24,1,0,3.0,34.0,11.3,17.0,0.0,,,,,,,
2017-09-10,stephenanderson/2556463,"Anderson, Stephen",TE,2017,Regular Season,1,09/10,Home,JAX,L,7 to 29,1,1,2.0,14.0,7.0,11.0,0.0,,,,,,,
2017-09-14,stephenanderson/2556463,"Anderson, Stephen",TE,2017,Regular Season,2,09/14,Away,CIN,W,13 to 9,0,0,,,,,,,,,,,,
2017-09-24,stephenanderson/2556463,"Anderson, Stephen",TE,2017,Regular Season,3,09/24,Away,NE,L,33 to 36,1,0,1.0,14.0,14.0,14.0,0.0,,,,,,,
2017-10-01,stephenanderson/2556463,"Anderson, Stephen",TE,2017,Regular Season,4,10/01,Home,TEN,W,57 to 14,1,0,2.0,28.0,14.0,17.0,0.0,,,,,,,
2017-10-08,stephenanderson/2556463,"Anderson, Stephen",TE,2017,Regular Season,5,10/08,Home,KC,L,34 to 42,1,0,2.0,63.0,31.5,42.0,0.0,,,,,,,
2017-10-15,stephenanderson/2556463,"Anderson, Stephen",TE,2017,Regular Season,6,10/15,Home,CLE,W,33 to 17,1,1,2.0,17.0,8.5,9.0,0.0,,,,,,,
