gameDate,Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
2016-10-09,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,5,10/09,Home,WAS,L,10 to 16,1,0,0.0,0.0,,,0.0,,,,,,,
2016-10-16,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,6,10/16,Away,NYG,L,23 to 27,1,1,4.0,64.0,16.0,22.0,0.0,,,,,,,
2016-10-23,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,7,10/23,Away,NYJ,L,16 to 24,1,1,3.0,55.0,18.3,29.0,0.0,,,,,,,
2016-11-06,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,9,11/06,Home,PIT,W,21 to 14,1,0,1.0,9.0,9.0,9.0,0.0,,,,,,,
2016-11-10,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,10,11/10,Home,CLE,W,28 to 7,1,0,2.0,15.0,7.5,8.0,0.0,,,,,,,
2016-11-20,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,11,11/20,Away,DAL,L,17 to 27,1,0,3.0,35.0,11.7,18.0,0.0,,,,,,,
2016-11-27,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,12,11/27,Home,CIN,W,19 to 14,1,1,2.0,30.0,15.0,19.0,0.0,,,,,,,
2016-12-04,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,13,12/04,Home,MIA,W,38 to 6,1,1,3.0,41.0,13.7,18.0,0.0,,,,,,,
2016-12-12,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,14,12/12,Away,NE,L,23 to 30,1,1,1.0,10.0,10.0,10.0,0.0,,,,,,,
2016-12-18,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,15,12/18,Home,PHI,W,27 to 26,1,1,2.0,19.0,9.5,14.0,1.0,,,,,,,
2016-12-25,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,16,12/25,Away,PIT,L,27 to 31,1,0,0.0,0.0,,,0.0,,,,,,,
2016-01-01,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,17,01/01,Away,CIN,L,10 to 27,1,0,2.0,22.0,11.0,13.0,0.0,,,,,,,
